Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,09-06-2024,1.0,ZEROBASEONE,GOOD SO BAD,"9,408",222,"2,876","2,000","4,283",27.0
Music Bank,09-06-2024,2.0,LE SSERAFIM,CRAZY,"7,155",313,"3,639",197,"2,927",79.0
Music Bank,08-30-2024,1.0,NMIXX,See that?,"11,821",533,"3,749","2,000","5,511",28.0
Music Bank,08-30-2024,2.0,TAEMIN,Sexy In The Air,"3,766",60,"2,565",0,"1,129",12.0
Music Bank,08-23-2024,1.0,fromis_9,Supersonic,"7,019",344,"2,442","2,000","2,218",15.0
Music Bank,08-23-2024,2.0,aespa,Supernova,"3,164","2,550",29,13,349,223.0
Music Bank,08-16-2024,1.0,STRAY KIDS,Chk Chk Boom,"8,031",500,"3,609","1,900","1,646",376.0
Music Bank,08-16-2024,2.0,aespa,Supernova,"3,601","2,592",19,37,730,223.0
Music Bank,08-09-2024,1.0,NCT 127,Walk,"6,453",612,"1,819","1,938","2,045",39.0
Music Bank,08-09-2024,2.0,STRAY KIDS,Chk Chk Boom,"6,111",496,"3,000","1,433",762,420.0
Music Bank,08-09-2024,3.0,ENHYPEN,Brought The Heat Back,"3,207",4,0,0,"2,991",212.0
Music Bank,08-02-2024,1.0,NCT 127,Walk,"8,335",619,"3,727","2,000","1,938",51.0
Music Bank,08-02-2024,2.0,STRAY KIDS,Chk Chk Boom,"6,340",498,"3,034","1,699",793,316.0
Music Bank,08-02-2024,3.0,ENHYPEN,XO (Only If You Say Yes),"3,815",4,947,164,"2,553",147.0
Music Bank,07-26-2024,1.0,STRAY KIDS,Chk Chk Boom,"11,462",118,"3,571","1,813","5,873",87.0
Music Bank,07-26-2024,2.0,NCT 127,Walk,"7,029",587,"2,847","2,000","1,563",32.0
Music Bank,07-19-2024,1.0,ENHYPEN,XO (Only If You Say Yes),"11,233",11,"2,868","2,000","6,260",94.0
Music Bank,07-19-2024,2.0,(G)I-DLE,Klaxon,"7,239",908,"3,249",196,"2,788",98.0
Music Bank,07-12-2024,1.0,STAYC,Cheeky Icy Thang,"7,502",228,"4,400","2,000",859,15.0
Music Bank,07-12-2024,2.0,NCT WISH,Songbird,"6,959",3,"1,503","1,975","3,474",4.0
Music Bank,07-05-2024,1.0,TWS,"If I'm S, Can You Be My N?","10,430",480,"3,768","2,000","4,171",11.0
Music Bank,07-05-2024,2.0,Red Velvet,Cosmic,"7,148",628,"2,999","1,939","1,529",53.0
Music Bank,06-28-2024,1.0,RIIZE,Boom Boom Bass,"9,979",747,"2,438","2,000","4,755",39.0
Music Bank,06-28-2024,2.0,aespa,Supernova,"3,975","3,426",29,4,134,382.0
Music Bank,06-21-2024,1.0,Nayeon,ABCD,"8,864",6,"2,566","2,000","4,079",13.0
Music Bank,06-21-2024,2.0,aespa,Supernova,"5,112","3,646",9,874,191,392.0
Music Bank,06-14-2024,1.0,aespa,Supernova,"7,493","3,768","1,223",113,"1,932",457.0
Music Bank,06-14-2024,2.0,WayV,Give me That,"7,216",13,"2,288","2,000","2,912",3.0
Music Bank,06-07-2024,1.0,ATEEZ,WORK,"10,828",19,"3,625","2,000","5,167",17.0
Music Bank,06-07-2024,2.0,aespa,Supernova,"9,876","3,882","1,009","1,347","3,288",350.0
Music Bank,05-31-2024,1.0,NewJeans,How Sweet,"9,836","1,052","2,156","1,942","4,494",192.0
Music Bank,05-31-2024,2.0,aespa,Supernova,"5,272","3,441",982,339,0,510.0
Music Bank,05-24-2024,1.0,ZEROBASEONE,Feel The POP,"13,101",55,"4,079","2,000","6,942",25.0
Music Bank,05-24-2024,2.0,aespa,Supernova,"4,569","1,816","2,351",37,0,365.0
Music Bank,05-17-2024,1.0,SEVENTEEN,MAESTRO,"7,216","1,063","2,118","2,000","1,903",132.0
Music Bank,05-17-2024,2.0,IVE,HEYA,"6,991","2,593","3,167","1,027",106,98.0
Music Bank,05-10-2024,1.0,SEVENTEEN,MAESTRO,"8,614","1,100","2,707","2,000","2,682",125.0
Music Bank,05-10-2024,2.0,IVE,HEYA,"7,697","1,852","3,482",892,"1,394",77.0
Music Bank,05-03-2024,1.0,Lee Chan-won,A Travel to the Sky,"7,227",24,"2,151","1,840","3,211",1.0
Music Bank,05-03-2024,2.0,ILLIT,Magnetic,"4,678","3,170","1,412",11,0,85.0
Music Bank,04-26-2024,1.0,BOYNEXTDOOR,"Earth, Wind & Fire","11,210",206,"4,953",335,"5,703",13.0
Music Bank,04-26-2024,2.0,ILLIT,Magnetic,"6,026","3,151","2,199",3,627,46.0
Music Bank,04-19-2024,1.0,ILLIT,Magnetic,"5,096","3,064","1,237",25,710,60.0
Music Bank,04-19-2024,2.0,TOMORROW X TOGETHER,Deja Vu,"3,792",449,"1,594",937,766,46.0
Music Bank,04-19-2024,3.0,ONF,Bye My Monster,"3,463",19,"2,719",54,669,2.0
Music Bank,04-12-2024,1.0,TOMORROW X TOGETHER,Deja Vu,"10,327",475,"2,334","2,000","5,467",51.0
Music Bank,04-12-2024,2.0,ILLIT,Magnetic,"5,064","2,466","1,959",303,287,49.0
Music Bank,04-05-2024,1.0,NCT DREAM,Smoothie,"11,596",613,"2,574","2,000","6,354",55.0
