Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,07-20-2024,1.0,Lee Young-Ji,Small girl (ft. D.O.),"5,723","5,000",0,130,300,254.0,0.0,34.0,5.0
Show! Music Core,07-20-2024,2.0,ENHYPEN,XO (Only If You Say Yes),"5,285","1,100","1,000",809,700,176.0,500.0,500.0,500.0
Show! Music Core,07-20-2024,3.0,(G)I-DLE,Klaxon,"5,099","2,099",445,"1,000",400,103.0,450.0,231.0,371.0
Show! Music Core,07-13-2024,1.0,Lee Young-Ji,Small girl (ft. D.O.),"5,821","5,000",0,84,300,238.0,160.0,15.0,24.0
Show! Music Core,07-13-2024,2.0,aespa,Armageddon,"4,168","3,281",146,79,33,357.0,200.0,22.0,50.0
Show! Music Core,07-13-2024,3.0,RIIZE,Boom Boom Bass,"4,048","1,912",19,17,100,500.0,500.0,500.0,500.0
Show! Music Core,07-06-2024,1.0,Lee Young-Ji,Small girl (ft. D.O.),"6,286","5,000",0,440,254,253.0,300.0,28.0,11.0
Show! Music Core,07-06-2024,2.0,Red Velvet,Cosmic,"5,203","1,419",366,685,800,433.0,500.0,500.0,500.0
Show! Music Core,07-06-2024,3.0,TWS,"If I'm S, Can You Be My N?","4,558",967,"1,000","1,000",600,246.0,350.0,325.0,70.0
Show! Music Core,06-22-2024,1.0,NewJeans,How Sweet,"7,125","5,000",51,126,300,335.0,450.0,363.0,500.0
Show! Music Core,06-22-2024,2.0,aespa,Armageddon,"5,678","3,636",47,252,57,500.0,400.0,500.0,286.0
Show! Music Core,06-22-2024,3.0,IVE,HEYA,"4,093","3,168",28,108,180,163.0,220.0,207.0,19.0
Show! Music Core,06-15-2024,1.0,NewJeans,How Sweet,"6,872","5,000",14,77,300,328.0,400.0,293.0,460.0
Show! Music Core,06-15-2024,2.0,aespa,Armageddon,"6,476","3,470",633,320,293,500.0,260.0,500.0,500.0
Show! Music Core,06-15-2024,3.0,IVE,HEYA,"3,928","3,199",0,65,150,202.0,120.0,177.0,15.0
Show! Music Core,06-08-2024,1.0,NewJeans,How Sweet,"6,837","5,000",39,184,570,287.0,350.0,258.0,149.0
Show! Music Core,06-08-2024,2.0,aespa,Armageddon,"6,713","3,177",636,"1,000",0,500.0,400.0,500.0,500.0
Show! Music Core,06-08-2024,3.0,IVE,HEYA,"3,997","3,266",1,93,191,199.0,140.0,101.0,6.0
Show! Music Core,06-01-2024,1.0,aespa,Supernova,"8,200","5,000",0,"1,000",300,500.0,400.0,500.0,500.0
Show! Music Core,06-01-2024,2.0,NewJeans,How Sweet,"4,339","2,053","1,000",714,31,201.0,240.0,81.0,19.0
Show! Music Core,06-01-2024,3.0,Zico,SPOT! (feat. JENNIE),"4,208","3,500",0,624,8,49.0,20.0,5.0,2.0
Show! Music Core,05-25-2024,1.0,aespa,Supernova,"7,167","4,126",0,"1,000",200,500.0,400.0,500.0,441.0
Show! Music Core,05-25-2024,2.0,IVE,HEYA,"6,220","4,141",3,108,600,234.0,450.0,184.0,500.0
Show! Music Core,05-25-2024,3.0,Zico,SPOT! (feat. JENNIE),"5,826","5,000",0,161,200,97.0,260.0,7.0,101.0
Show! Music Core,05-18-2024,1.0,Lim Young-woong,Warmth,"6,825",,,,,,,,
Show! Music Core,05-18-2024,2.0,Zico,SPOT! (feat. JENNIE),"5,404",,,,,,,,
