,Episode,Date,Artist,Song,Points,Award Show,Search Query,Song ID
175,779,"January 12, 2023",NewJeans,OMG,"7,834",M Countdown,track:OMG artist:NewJeans year:2000-2023,65FftemJ1DbbZ45DUfHJXE
176,780,"January 19, 2023",Taeyang,Vibe,"5,737",M Countdown,track:Vibe artist:Taeyang year:2000-2023,14XLUySagFhP9KoqOTg5ka
177,781,"January 26, 2023",NewJeans,OMG,—,M Countdown,track:OMG artist:NewJeans year:2000-2023,65FftemJ1DbbZ45DUfHJXE
178,782,"February 2, 2023",TXT,Sugar Rush Ride,"6,870",M Countdown,track:Sugar Rush Ride artist:TXT year:2000-2023,0rhI6gvOeCKA502RdJAbfs
179,783,"February 9, 2023",TXT,Sugar Rush Ride,"9,489",M Countdown,track:Sugar Rush Ride artist:TXT year:2000-2023,0rhI6gvOeCKA502RdJAbfs
180,784,"February 16, 2023",BSS,Fighting,"10,669",M Countdown,track:Fighting artist:BSS year:2000-2023,7eBpUuPnDTfbeP1P4P93CS
181,785,"February 23, 2023",BSS,Fighting,"8,894",M Countdown,track:Fighting artist:BSS year:2000-2023,7eBpUuPnDTfbeP1P4P93CS
182,786,"March 2, 2023",BSS,Fighting,"8,265",M Countdown,track:Fighting artist:BSS year:2000-2023,7eBpUuPnDTfbeP1P4P93CS
183,787,"March 9, 2023",J-Hope&J. Cole,On the Street,"8,500",M Countdown,track:On the Street artist:J-Hope&J. Cole year:2000-2023,5wxYxygyHpbgv0EXZuqb9V
184,788,"March 16, 2023",J-Hope&J. Cole,On the Street,"7,767",M Countdown,track:On the Street artist:J-Hope&J. Cole year:2000-2023,5wxYxygyHpbgv0EXZuqb9V
185,789,"March 23, 2023",Jimin,Set Me Free Pt. 2,"8,414",M Countdown,track:Set Me Free Pt. 2 artist:Jimin year:2000-2023,59hBR0BCtJsfIbV9VzCVAp
186,790,"March 30, 2023",Jimin,Like Crazy,"9,855",M Countdown,track:Like Crazy artist:Jimin year:2000-2023,3Ua0m0YmEjrMi9XErKcNiR
187,791,"April 6, 2023",Jimin,Like Crazy,—,M Countdown,track:Like Crazy artist:Jimin year:2000-2023,3Ua0m0YmEjrMi9XErKcNiR
188,792,"April 13, 2023",Jisoo,Flower,"8,890",M Countdown,track:Flower artist:Jisoo year:2000-2023,0bC7GKnxh9W9JIvJ6HVWxc
189,793,"April 20, 2023",Ive,I Am,"8,941",M Countdown,track:I Am artist:Ive year:2000-2023,7KavHYqoVFNB3IUXfs5gvP
190,794,"April 27, 2023",Ive,I Am,"7,139",M Countdown,track:I Am artist:Ive year:2000-2023,7KavHYqoVFNB3IUXfs5gvP
191,795,"May 4, 2023",Seventeen,Super,"9,603",M Countdown,track:Super artist:Seventeen year:2000-2023,3AOf6YEpxQ894FmrwI9k96
192,796,"May 11, 2023",Le Sserafim,Unforgiven,"8,575",M Countdown,track:Unforgiven artist:Le Sserafim year:2000-2023,51vRumtqbkNW9wrKfESwfu
193,797,"May 18, 2023",Aespa,Spicy,"8,207",M Countdown,track:Spicy artist:Aespa year:2000-2023,3gtlthEgyulDfT8dWdKsnv
194,798,"May 25, 2023",(G)I-dle,Queencard,"9,207",M Countdown,track:Queencard artist:(G)I-dle year:2000-2023,68r87x3VZdAMhv8nBVuynz
195,799,"June 1, 2023",Enhypen,Bite Me,"8,813",M Countdown,track:Bite Me artist:Enhypen year:2000-2023,7mpdNiaQvygj2rHoxkzMfa
196,800,"June 8, 2023",Stray Kids,S-Class,"6,720",M Countdown,track:S-Class artist:Stray Kids year:2000-2023,54zRGA28tVRKRmFCpywWko
197,801,"June 15, 2023",Stray Kids,S-Class,—,M Countdown,track:S-Class artist:Stray Kids year:2000-2023,54zRGA28tVRKRmFCpywWko
198,802,"June 22, 2023",BTS,Take Two,"7,500",M Countdown,track:Take Two artist:BTS year:2000-2023,5IAESfJjmOYu7cHyX557kz
199,803,"June 29, 2023",BTS,Take Two,"7,750",M Countdown,track:Take Two artist:BTS year:2000-2023,5IAESfJjmOYu7cHyX557kz
200,804,"July 6, 2023",BTS,Take Two,"7,671",M Countdown,track:Take Two artist:BTS year:2000-2023,5IAESfJjmOYu7cHyX557kz
201,805,"July 13, 2023",NewJeans,Super Shy,"5,848",M Countdown,track:Super Shy artist:NewJeans year:2000-2023,5sdQOyqq2IDhvmx2lHOpwd
202,806,"July 20, 2023",Jung Kook,Seven,"6,068",M Countdown,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
203,807,"July 27, 2023",Jung Kook,Seven,"7,606",M Countdown,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
204,808,"August 3, 2023",Jung Kook,Seven,"7,737",M Countdown,track:Seven artist:Jung Kook year:2000-2023,7Hcj0duTWiCSYDtJaztNIt
205,809,"August 10, 2023",NewJeans,ETA,"6,136",M Countdown,track:ETA artist:NewJeans year:2000-2023,56v8WEnGzLByGsDAXDiv4d
206,810,"August 17, 2023",NewJeans,ETA,—,M Countdown,track:ETA artist:NewJeans year:2000-2023,56v8WEnGzLByGsDAXDiv4d
207,811,"August 24, 2023",V,Love Me Again,"7,864",M Countdown,track:Love Me Again artist:V year:2000-2023,2N0SPREDYqILVEFSsWF5N5
208,812,"August 31, 2023",V,Love Me Again,"7,751",M Countdown,track:Love Me Again artist:V year:2000-2023,2N0SPREDYqILVEFSsWF5N5
209,813,"September 7, 2023",V,Love Me Again,"7,618",M Countdown,track:Love Me Again artist:V year:2000-2023,2N0SPREDYqILVEFSsWF5N5
210,814,"September 14, 2023",V,Slow Dancing,"9,557",M Countdown,track:Slow Dancing artist:V year:2000-2023,5h1BN75CEh8wdSwE1xrbSe
211,815,"September 21, 2023",V,Slow Dancing,"9,096",M Countdown,track:Slow Dancing artist:V year:2000-2023,5h1BN75CEh8wdSwE1xrbSe
212,816,"September 28, 2023",V,Slow Dancing,—,M Countdown,track:Slow Dancing artist:V year:2000-2023,5h1BN75CEh8wdSwE1xrbSe
213,817,"October 5, 2023",Jung Kook,3D,—,M Countdown,track:3D artist:Jung Kook year:2000-2023,6xGr4tVzpTX99p9Cf0hRRL
214,818,"October 12, 2023",Jung Kook,3D,"8,436",M Countdown,track:3D artist:Jung Kook year:2000-2023,6xGr4tVzpTX99p9Cf0hRRL
215,819,"October 19, 2023",Jung Kook,3D,"7,874",M Countdown,track:3D artist:Jung Kook year:2000-2023,6xGr4tVzpTX99p9Cf0hRRL
216,820,"October 26, 2023",Ive,Baddie,—,M Countdown,track:Baddie artist:Ive year:2000-2023,0XrDEv1Xe0ZQsS6AmPn04c
217,821,"November 2, 2023",Seventeen,God of Music,—,M Countdown,track:God of Music artist:Seventeen year:2000-2023,4MTNimMDRyFZv37Thcktwa
218,822,"November 9, 2023",Jung Kook,Standing Next to You,"9,622",M Countdown,track:Standing Next to You artist:Jung Kook year:2000-2023,2KslE17cAJNHTsI2MI0jb2
219,823,"November 16, 2023",Jung Kook,Standing Next to You,"8,237",M Countdown,track:Standing Next to You artist:Jung Kook year:2000-2023,2KslE17cAJNHTsI2MI0jb2
220,824,"January 11, 2024",Jimin,Closer Than This,"7,500",M Countdown,track:Closer Than This artist:Jimin year:2000-2024,6qafqn8bBMy7t5c5WqpyRk
221,825,"January 18, 2024",Riize,Love 119,"8,174",M Countdown,track:Love 119 artist:Riize year:2000-2024,0lUtQTBt2ydznYzuAeYFrZ
222,826,"January 25, 2024",Nmixx,Dash,"9,338",M Countdown,track:Dash artist:Nmixx year:2000-2024,1mXIJLlpAEG3Vab5b21QIM
223,827,"February 1, 2024",IU,Love Wins All,"7,443",M Countdown,track:Love Wins All artist:IU year:2000-2024,0djkJ3iAARXRCbfbwwVc3o
224,828,"February 8, 2024",(G)I-dle,Super Lady,"8,780",M Countdown,track:Super Lady artist:(G)I-dle year:2000-2024,105qee9D4ARiRZPZDvGDoH
225,829,"February 15, 2024",(G)I-dle,Super Lady,—,M Countdown,track:Super Lady artist:(G)I-dle year:2000-2024,105qee9D4ARiRZPZDvGDoH
226,830,"February 22, 2024",(G)I-dle,Super Lady,"7,268",M Countdown,track:Super Lady artist:(G)I-dle year:2000-2024,105qee9D4ARiRZPZDvGDoH
227,831,"February 29, 2024",Le Sserafim,Easy,"9,428",M Countdown,track:Easy artist:Le Sserafim year:2000-2024,2O4Bb2WCkjlTPO827OnBMI
228,832,"March 7, 2024",Le Sserafim,Easy,"8,502",M Countdown,track:Easy artist:Le Sserafim year:2000-2024,2O4Bb2WCkjlTPO827OnBMI
229,833,"March 14, 2024",Le Sserafim,Easy,"7,900",M Countdown,track:Easy artist:Le Sserafim year:2000-2024,2O4Bb2WCkjlTPO827OnBMI
